Feature,Importance
amt,0.46793744
hour_of_day,0.105673864
amt_zscore,0.06824436
first_digit,0.0501071
avg_amt,0.047162388
idade,0.022809895
gender_F,0.017239995
month,0.016287014
stddev_amt,0.013821749
city_Holcomb,0.013473657
long,0.013018744
job_Multimedia programmer,0.012523044
job_Drilling engineer,0.012374523
lat,0.012366956
prev_lat,0.01106518
job_Environmental consultant,0.009162855
city_pop,0.008908332
city_Moriches,0.0087237405
day_of_week,0.008674413
"job_Designer, ceramics/pottery",0.0076546893
